X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.706.777;-1.198.403;CARLOS ALBERTO VALDEZ COTRINA;AV. LOS ALISOS 560 URB. PREVI LOS OLIVOS;07:00 am - 10:00 pm;-1.198.403;-7.706.777;07:00 am - 10:00 pm;AV. LOS ALISOS 560 URB. PREVI LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.707.209;-1.208.991;TIENDAS TAMBO S.A.C;CAL. LEONCIO PRADO NRO. 892 LIMA-LIMA-MAGDALENA DEL MAR;07:00 am - 10:30 pm;-1.208.991;-7.707.209;07:00 am - 10:30 pm;CAL. LEONCIO PRADO NRO. 892 LIMA-LIMA-MAGDALENA DEL MAR;;;;;;;;;;;;;;;;;;;;;;;
-7.701.547;-1.217.395;TIENDAS TAMBO S.A.C;JR. COSTA AZUL NRO. 151 URB. JOSE OLAYA (MZ. E LTE. 9) LIMA - LIMA - CHORRILLOS;07:00 am - 10:30 pm;-1.217.395;-7.701.547;07:00 am - 10:30 pm;JR. COSTA AZUL NRO. 151 URB. JOSE OLAYA (MZ. E LTE. 9) LIMA - LIMA - CHORRILLOS;;;;;;;;;;;;;;;;;;;;;;;
-770.229;-1.209.682;TIENDAS TAMBO S.A.C;AV. CANAVAL Y MOREYRA NRO. 341 URB. SANTA ANA LIMA - LIMA - SAN ISIDRO;07:00 am - 10:30 pm;-1.209.682;-770.229;07:00 am - 10:30 pm;AV. CANAVAL Y MOREYRA NRO. 341 URB. SANTA ANA LIMA - LIMA - SAN ISIDRO;;;;;;;;;;;;;;;;;;;;;;;
-7.709.618;-1.207.641;TIENDAS TAMBO S.A.C;AV. LA MARINA NRO. 2997 URB. MARANGA;07:00 am - 10:30 pm;-1.207.641;-7.709.618;07:00 am - 10:30 pm;AV. LA MARINA NRO. 2997 URB. MARANGA;;;;;;;;;;;;;;;;;;;;;;;
-7.703.569;-1.202.961;TIENDAS TAMBO S.A.C;AV. TNTE. FELIPE ARANCIBIA NRO 533 URB VENTURA ROSSI RIMAC-LIMA-LIMA;07:00 am - 10:30 pm;-1.202.961;-7.703.569;07:00 am - 10:30 pm;AV. TNTE. FELIPE ARANCIBIA NRO 533 URB VENTURA ROSSI RIMAC-LIMA-LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.181;-1.193.625;TIENDAS TAMBO S.A.C;AV.CORDIALIDAD MZ.A5 LOTE 15 URB.PRO 5° SECTOR II ETAPA;07:00 am - 10:30 pm;-1.193.625;-7.708.181;07:00 am - 10:30 pm;AV.CORDIALIDAD MZ.A5 LOTE 15 URB.PRO 5° SECTOR II ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.701.772;-1.220.594;TIENDAS TAMBO S.A.C;MZA. A LOTE. 2 URB. ASOCIACIÓN DE VIVIENDA ALAMEDA SUR DE VILLA CHORRILLOS DE LOS TRABAJADORES DEL SECTOR EDUCACIÓN;07:00 am - 10:30 pm;-1.220.594;-7.701.772;07:00 am - 10:30 pm;MZA. A LOTE. 2 URB. ASOCIACIÓN DE VIVIENDA ALAMEDA SUR DE VILLA CHORRILLOS DE LOS TRABAJADORES DEL SECTOR EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;
-7.702.971;-1.187.896;FERRETERIA FRANCYS;MZ G LTE 1 URB LOS GRIRASOLES;07:00 am - 10:00 pm;-1.187.896;-7.702.971;07:00 am - 10:00 pm;MZ G LTE 1 URB LOS GRIRASOLES;;;;;;;;;;;;;;;;;;;;;;;
-7.712.225;-120.655;TIENDAS TAMBO S.A.C;CAL. COLINA 1050V INT 4-A CALLAO-CALLAO-BELLAVISTA;07:00 am - 10:30 pm;-120.655;-7.712.225;07:00 am - 10:30 pm;CAL. COLINA 1050V INT 4-A CALLAO-CALLAO-BELLAVISTA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.212;-120.815;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA MZA. L1 LOTE. 6 URB. PANDO LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-120.815;-7.708.212;07:00 am - 10:30 pm;AV. UNIVERSITARIA MZA. L1 LOTE. 6 URB. PANDO LIMA-LIMA-SAN MIGUEL;;;;;;;;;;;;;;;;;;;;;;;
-7.703.175;-1.188.007;BOTICAS FAMIFARMA;AV CONDORCANQUI 2022 MZ W1 LT 18 (A 1 CUADRA DE COLEGIO TECNOLOGI);07:30 am - 10:00 pm;-1.188.007;-7.703.175;07:30 am - 10:00 pm;AV CONDORCANQUI 2022 MZ W1 LT 18 (A 1 CUADRA DE COLEGIO TECNOLOGI);;;;;;;;;;;;;;;;;;;;;;;
-7.708.212;-120.815;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA MZA. L1 LOTE. 6 URB. PANDO LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-120.815;-7.708.212;07:00 am - 10:30 pm;AV. UNIVERSITARIA MZA. L1 LOTE. 6 URB. PANDO LIMA-LIMA-SAN MIGUEL;;;;;;;;;;;;;;;;;;;;;;;
-7.699.198;-1.217.033;TIENDAS TAMBO S.A.C;AV. GUARDIA CIVIL MZA B LOTE 6 URB. SANTA ROSA DE SURCO- LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.217.033;-7.699.198;07:00 am - 10:30 pm;AV. GUARDIA CIVIL MZA B LOTE 6 URB. SANTA ROSA DE SURCO- LIMA-LIMA-SANTIAGO DE SURCO;;;;;;;;;;;;;;;;;;;;;;;
-7.702.759;-1.212.773;TIENDAS TAMBO S.A.C;AV. 28 DE JULIO NRO. 620 LIMA - LIMA - MIRAFLORES;07:00 am - 10:30 pm;-1.212.773;-7.702.759;07:00 am - 10:30 pm;AV. 28 DE JULIO NRO. 620 LIMA - LIMA - MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.704.037;-1.198.074;BAZAR;AV CORICANCHA 512 URB TAHUANTINSUYO;07:00 am - 10:00 pm;-1.198.074;-7.704.037;07:00 am - 10:00 pm;AV CORICANCHA 512 URB TAHUANTINSUYO;;;;;;;;;;;;;;;;;;;;;;;
-7.703.605;-1.205.083;TIENDAS TAMBO S.A.C;AV NICOLAS DE PIEROLA 806 LIMA;07:00 am - 10:30 pm;-1.205.083;-7.703.605;07:00 am - 10:30 pm;AV NICOLAS DE PIEROLA 806 LIMA;;;;;;;;;;;;;;;;;;;;;;;
-77.042;-1.208.688;TIENDAS TAMBO S.A.C;AV. JULIO C. TELLO NRO. 889 LIMA-LIMA-LINCE;07:00 am - 10:30 pm;-1.208.688;-77.042;07:00 am - 10:30 pm;AV. JULIO C. TELLO NRO. 889 LIMA-LIMA-LINCE;;;;;;;;;;;;;;;;;;;;;;;
-7.709.701;-1.206.471;TIENDAS TAMBO S.A.C;AV. FAUCETT NRO 500 URB RESIDENCIAL SAN MIGUEL LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.206.471;-7.709.701;07:00 am - 10:30 pm;AV. FAUCETT NRO 500 URB RESIDENCIAL SAN MIGUEL LIMA-LIMA-SAN MIGUEL;;;;;;;;;;;;;;;;;;;;;;;
-7.703.164;-1.204.602;TIENDAS TAMBO S.A.C;JR. CALLAO NRO. 115 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.204.602;-7.703.164;07:00 am - 10:30 pm;JR. CALLAO NRO. 115 LIMA-LIMA-LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.700.975;-1.217.871;TIENDAS TAMBO S.A.C;AV. PROLONGACION PASEO DE LA REPUBLICA MZA. B LOTE. 13 URB. PASEO REPUBLICA LIMA-LIMA-CHORRILLOS;07:00 am - 10:30 pm;-1.217.871;-7.700.975;07:00 am - 10:30 pm;AV. PROLONGACION PASEO DE LA REPUBLICA MZA. B LOTE. 13 URB. PASEO REPUBLICA LIMA-LIMA-CHORRILLOS;;;;;;;;;;;;;;;;;;;;;;;
-7.708.422;-1.198.768;TIENDAS TAMBO S.A.C;PRO.SEÑOR DE LOS MILAGROS MZA. Ñ LOTE. 15 URB. PROG.VIV. SEÑOR DE LOS MILAGROS (PROG.VI SEÑOR DE LOS MILAGROS LOS OLIVOS) LIMA - LIMA - SAN MARTIN DE PORRES;07:00 am - 10:30 pm;-1.198.768;-7.708.422;07:00 am - 10:30 pm;PRO.SEÑOR DE LOS MILAGROS MZA. Ñ LOTE. 15 URB. PROG.VIV. SEÑOR DE LOS MILAGROS (PROG.VI SEÑOR DE LOS MILAGROS LOS OLIVOS) LIMA - LIMA - SAN MARTIN DE PORRES;;;;;;;;;;;;;;;;;;;;;;;
