X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.708.581;-1.199.653;LIBRERIA WILLIAM;COOP. VIV. EL OLIVAR MZ. C LT 4;07:00 am - 10:00 pm;-1.199.653;-7.708.581;07:00 am - 10:00 pm;COOP. VIV. EL OLIVAR MZ. C LT 4;;;;;;;;;;;;;;;;;;;;;;;
-7.701.141;-1.217.695;TIENDAS TAMBO S.A.C;NRO. 1403 URB. PASEO DE LA REPUBLICA (MZ A01 LT 24 SECTOR 2) LIMA - LIMA - CHORRILLOS;07:00 am - 10:30 pm;-1.217.695;-7.701.141;07:00 am - 10:30 pm;NRO. 1403 URB. PASEO DE LA REPUBLICA (MZ A01 LT 24 SECTOR 2) LIMA - LIMA - CHORRILLOS;;;;;;;;;;;;;;;;;;;;;;;
-7.706.273;-1.194.492;BOTICA BIOSALUD;JR. MARTIN ARANGURI 547 URB. SANTA LUZMILA / AV UNIVERSITARIA CON 2 DE AGOSTO;07:30 am - 10:00 pm;-1.194.492;-7.706.273;07:30 am - 10:00 pm;JR. MARTIN ARANGURI 547 URB. SANTA LUZMILA / AV UNIVERSITARIA CON 2 DE AGOSTO;;;;;;;;;;;;;;;;;;;;;;;
-770.541;-1.192.203;CARMENCITA;AV. RETABLO 1434;07:00 am - 10:00 pm;-1.192.203;-770.541;07:00 am - 10:00 pm;AV. RETABLO 1434;;;;;;;;;;;;;;;;;;;;;;;
-7.703.054;-1.189.325;NETWORK MARKETING;JR. SAN FRANCISCO DE ASI MZ C1  LOTE 45 URBANIZACION LUCIANA / REFERENCIA: PARQUE NUMERO 4 SANRA ROSA;07:00 am - 10:00 pm;-1.189.325;-7.703.054;07:00 am - 10:00 pm;JR. SAN FRANCISCO DE ASI MZ C1  LOTE 45 URBANIZACION LUCIANA / REFERENCIA: PARQUE NUMERO 4 SANRA ROSA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.616;-1.197.964;BOTICA DARSALUD;URB.ROSARIO DEL NORTE MZ.G1 LOTE 17;07:00 am - 10:00 pm;-1.197.964;-7.708.616;07:00 am - 10:00 pm;URB.ROSARIO DEL NORTE MZ.G1 LOTE 17;;;;;;;;;;;;;;;;;;;;;;;
-770.776;-11.993;OLGA VICTORIA CAYCHO HUAPAYA;MZA. C LOTE 15 URB LOS PINARES;07:00 am - 10:00 pm;-11.993;-770.776;07:00 am - 10:00 pm;MZA. C LOTE 15 URB LOS PINARES;;;;;;;;;;;;;;;;;;;;;;;
-7.704.897;-1.193.305;RICARDO PANTA SANCARRANCO ;JR. CRESPO Y CASTILLO 258  URB. SAN AGUSTIN;07:00 am - 10:00 pm;-1.193.305;-7.704.897;07:00 am - 10:00 pm;JR. CRESPO Y CASTILLO 258  URB. SAN AGUSTIN;;;;;;;;;;;;;;;;;;;;;;;
-7.706.988;-1.200.392;WILLIAM RAMIREZ YAUCE;URB TAURIJA MZ G LT 12;07:00 am - 10:00 pm;-1.200.392;-7.706.988;07:00 am - 10:00 pm;URB TAURIJA MZ G LT 12;;;;;;;;;;;;;;;;;;;;;;;
-7.709.948;-1.198.731;LOCUTORIO ANITA;MZ O LT 13 COOP SAN JUAN DE SALINAS ;07:00 am - 10:00 pm;-1.198.731;-7.709.948;07:00 am - 10:00 pm;MZ O LT 13 COOP SAN JUAN DE SALINAS;;;;;;;;;;;;;;;;;;;;;;;
-7.705.748;-1.195.579;NORMA AMELIA JARA MORY;AV MEXICO 298 A URB EL PARRAL;07:00 am - 10:00 pm;-1.195.579;-7.705.748;07:00 am - 10:00 pm;AV MEXICO 298 A URB EL PARRAL;;;;;;;;;;;;;;;;;;;;;;;
-7.704.634;-1.191.174;BRYFARMA;AV. UNIVERSITARIA NORTE MZ. E1 LT. 01-A N° 9599 ZONAL 09 ASC. LA ALBORADA;07:00 am - 10:00 pm;-1.191.174;-7.704.634;07:00 am - 10:00 pm;AV. UNIVERSITARIA NORTE MZ. E1 LT. 01-A N° 9599 ZONAL 09 ASC. LA ALBORADA;;;;;;;;;;;;;;;;;;;;;;;
-7.705.482;-1.199.772;CENTRO DE COPIAS;AV. LOS PINOS 128 EL ERMITANO;07:00 am - 10:00 pm;-1.199.772;-7.705.482;07:00 am - 10:00 pm;AV. LOS PINOS 128 EL ERMITANO;;;;;;;;;;;;;;;;;;;;;;;
-7.705.536;-1.198.435;PEDRO ARROYO AZURZA;AV CARLOS IZAGUIRRE 200 CC SAN LAZARO SECCION 1A TDAS. 24 Y 25 URB NARANJAL ;07:00 am - 10:00 pm;-1.198.435;-7.705.536;07:00 am - 10:00 pm;AV CARLOS IZAGUIRRE 200 CC SAN LAZARO SECCION 1A TDAS. 24 Y 25 URB NARANJAL;;;;;;;;;;;;;;;;;;;;;;;
-7.705.856;-1.194.347;BOTICA JA &CE;GUILLERMO LA FUENTE 485;07:00 am - 10:00 pm;-1.194.347;-7.705.856;07:00 am - 10:00 pm;GUILLERMO LA FUENTE 485;;;;;;;;;;;;;;;;;;;;;;;
-7.710.562;-1.205.922;SR.MOTO CPR & ENVIOS;AV INSURGENTES MZ 3 - LOTE 1B INT.29;07:00 am - 10:00 pm;-1.205.922;-7.710.562;07:00 am - 10:00 pm;AV INSURGENTES MZ 3 - LOTE 1B INT.29;;;;;;;;;;;;;;;;;;;;;;;
-7.702.548;-1.191.932;BAZAR GARCIA;AV SANTO TORIBIO DE MOGROVEJO 460;07:00 am - 10:00 pm;-1.191.932;-7.702.548;07:00 am - 10:00 pm;AV SANTO TORIBIO DE MOGROVEJO 460;;;;;;;;;;;;;;;;;;;;;;;
-7.704.243;-1.192.733;CORAZON DE JESUS DEL NORTE;JR DAVID LEON 105 URB AÑO NUEVO;07:00 am - 10:00 pm;-1.192.733;-7.704.243;07:00 am - 10:00 pm;JR DAVID LEON 105 URB AÑO NUEVO;;;;;;;;;;;;;;;;;;;;;;;
-7.700.519;-1.199.328;TIENDAS TAMBO S.A.C;AV. 13 DE ENERO NRO. 2242 LIMA - LIMA - SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.199.328;-7.700.519;07:00 am - 10:30 pm;AV. 13 DE ENERO NRO. 2242 LIMA - LIMA - SAN JUAN DE LURIGANCHO;;;;;;;;;;;;;;;;;;;;;;;
-7.704.428;-1.203.269;RONY ROMAN APONTE;AV CAQUETA 467- 461 CENTRO COMERCIAL UNICACHI TDA 33;07:00 am - 10:00 pm;-1.203.269;-7.704.428;07:00 am - 10:00 pm;AV CAQUETA 467- 461 CENTRO COMERCIAL UNICACHI TDA 33;;;;;;;;;;;;;;;;;;;;;;;
-7.711.768;-1.204.235;FARMACIA;MZ D LT 28 COMITE 41 GAMBETA BAJA ;07:00 am - 10:00 pm;-1.204.235;-7.711.768;07:00 am - 10:00 pm;MZ D LT 28 COMITE 41 GAMBETA BAJA;;;;;;;;;;;;;;;;;;;;;;;
-7.706.026;-1.196.856;ELVIS MIGUEL LOPEZ;CALLE 13B URBANIZACION CARABAYLLO;07:00 am - 10:00 pm;-1.196.856;-7.706.026;07:00 am - 10:00 pm;CALLE 13B URBANIZACION CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;
-7.707.767;-1.198.144;JHON ANTERO VALVERDE SILVA;AAHH SANTA ROSA DEL NARANJAL MZ G LT 23;07:00 am - 10:00 pm;-1.198.144;-7.707.767;07:00 am - 10:00 pm;AAHH SANTA ROSA DEL NARANJAL MZ G LT 23;;;;;;;;;;;;;;;;;;;;;;;
-7.698.273;-1.206.344;TIENDAS TAMBO S.A.C;AV. NICOLAS AYLLON NRO. 2098 (LOTZ. IND. SANTA LUCÍA - SEC 002 ZON 01) LIMA - LIMA - ATE;07:00 am - 10:30 pm;-1.206.344;-7.698.273;07:00 am - 10:30 pm;AV. NICOLAS AYLLON NRO. 2098 (LOTZ. IND. SANTA LUCÍA - SEC 002 ZON 01) LIMA - LIMA - ATE;;;;;;;;;;;;;;;;;;;;;;;
-7.699.897;-1.217.594;MULTISERVICIOS;MZ C7 LTE 5 P.J. TUPAC AMARU DE VILLA ;07:00 am - 10:00 pm;-1.217.594;-7.699.897;07:00 am - 10:00 pm;MZ C7 LTE 5 P.J. TUPAC AMARU DE VILLA;;;;;;;;;;;;;;;;;;;;;;;
-7.702.235;-1.208.894;TIENDAS TAMBO S.A.C;AV. CARLOS VILLARÁN NRO 261 LIMA-LIMA-LA VICTORIA;07:00 am - 10:30 pm;-1.208.894;-7.702.235;07:00 am - 10:30 pm;AV. CARLOS VILLARÁN NRO 261 LIMA-LIMA-LA VICTORIA;;;;;;;;;;;;;;;;;;;;;;;
-7.703.347;-1.190.499;RAPIMARKET;JR LOS INOCENTES 210 URB STA ISABE;07:00 am - 10:00 pm;-1.190.499;-7.703.347;07:00 am - 10:00 pm;JR LOS INOCENTES 210 URB STA ISABE;;;;;;;;;;;;;;;;;;;;;;;
-7.704.508;-1.195.817;LIBRERÍA-BAZAR;JR NICOLAS DE PIEROLA 506 URB LA LIBERTAD;07:00 am - 10:00 pm;-1.195.817;-7.704.508;07:00 am - 10:00 pm;JR NICOLAS DE PIEROLA 506 URB LA LIBERTAD;;;;;;;;;;;;;;;;;;;;;;;
-7.704.966;-1.195.383;MARIA JESUS RUMAY TELLO;CALLE SANTA ROSA 880 MZ E LT 2 PJ LA LIBERTAD;07:00 am - 10:00 pm;-1.195.383;-7.704.966;07:00 am - 10:00 pm;CALLE SANTA ROSA 880 MZ E LT 2 PJ LA LIBERTAD;;;;;;;;;;;;;;;;;;;;;;;
-7.705.177;-120.245;BOTICA ANGHEL;AV. EDUARDO DE HABICH 186;07:00 am - 10:00 pm;-120.245;-7.705.177;07:00 am - 10:00 pm;AV. EDUARDO DE HABICH 186;;;;;;;;;;;;;;;;;;;;;;;
-7.704.036;-1.189.103;LIDIA ESPIRITU CAQUI;AV CHIMPU OCLLO MZ T LT 1 URB LUCIANA DE CARABAYLLO ;07:00 am - 10:00 pm;-1.189.103;-7.704.036;07:00 am - 10:00 pm;AV CHIMPU OCLLO MZ T LT 1 URB LUCIANA DE CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;
-7.710.405;-1.202.782;TIENDAS TAMBO S.A.C;AV. ELMER FAUCETT NRO. 2883 (LIMA CARGO CITY) CALLAO-CALLAO-CALLAO;07:00 am - 10:30 pm;-1.202.782;-7.710.405;07:00 am - 10:30 pm;AV. ELMER FAUCETT NRO. 2883 (LIMA CARGO CITY) CALLAO-CALLAO-CALLAO;;;;;;;;;;;;;;;;;;;;;;;
-7.702.275;-1.208.055;TIENDAS TAMBO S.A.C;AV. PALERMO 501-505 LIMA-LIMA-LA VICTORIA;07:00 am - 10:30 pm;-1.208.055;-7.702.275;07:00 am - 10:30 pm;AV. PALERMO 501-505 LIMA-LIMA-LA VICTORIA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.659;-1.198.702;CHARITO BECERRA ENRIQUEZ;AV LOS OLIVOS MZ I LT  11 ASOC SEÑOR DE LOS MILAGROS ;07:00 am - 10:00 pm;-1.198.702;-7.708.659;07:00 am - 10:00 pm;AV LOS OLIVOS MZ I LT  11 ASOC SEÑOR DE LOS MILAGROS;;;;;;;;;;;;;;;;;;;;;;;
-7.698.982;-1.215.063;RAUL TORRES ROMERO;JR LOS CONQUISTADORES  MZ C LT 30 URB JORGE CHAVEZ;07:00 am - 10:00 pm;-1.215.063;-7.698.982;07:00 am - 10:00 pm;JR LOS CONQUISTADORES  MZ C LT 30 URB JORGE CHAVEZ;;;;;;;;;;;;;;;;;;;;;;;
-7.709.869;-1.199.285;MARIELA ARANA SAAVEDRA;MZ O INT A LT 1 LOS CHASQUIS 3RA ETAPA;07:00 am - 10:00 pm;-1.199.285;-7.709.869;07:00 am - 10:00 pm;MZ O INT A LT 1 LOS CHASQUIS 3RA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.710.862;-1.199.672;EDITH ESPINOZA GOMEZ;AV PACASMAYO MZ A LT 6 - LOS ROBLES DE SANTA ROSA;07:00 am - 10:00 pm;-1.199.672;-7.710.862;07:00 am - 10:00 pm;AV PACASMAYO MZ A LT 6 - LOS ROBLES DE SANTA ROSA;;;;;;;;;;;;;;;;;;;;;;;
-7.705.359;-1.193.054;MARCO ANTONIO PEREZ CHAVEZ;AV UNIVERSITARIA 7974 - 1ERA ETAPA URB SAN AGUSTIN;07:00 am - 10:00 pm;-1.193.054;-7.705.359;07:00 am - 10:00 pm;AV UNIVERSITARIA 7974 - 1ERA ETAPA URB SAN AGUSTIN;;;;;;;;;;;;;;;;;;;;;;;
-7.701.904;-1.187.844;INVERSIONES RECUAY SAC;LOS CLAVELES S 5 PUEBLO JOVEN SECTOR 1;07:00 am - 10:00 pm;-1.187.844;-7.701.904;07:00 am - 10:00 pm;LOS CLAVELES S 5 PUEBLO JOVEN SECTOR 1;;;;;;;;;;;;;;;;;;;;;;;
-7.693.963;-1.222.159;JOEM FARMA;ES:  AV. 03 DE OCTUBRE MZ P LT 27 SECTOR 3 GRUPO 27 (CRUCE CON AV. MICAELA BASTIDAS).;07:00 am - 10:00 pm;-1.222.159;-7.693.963;07:00 am - 10:00 pm;ES:  AV. 03 DE OCTUBRE MZ P LT 27 SECTOR 3 GRUPO 27 (CRUCE CON AV. MICAELA BASTIDAS).;;;;;;;;;;;;;;;;;;;;;;;
-7.692.316;-1.204.386;BODEGA YULISA;ASENTAMIENTO HUMANO SANTA MARÍA MZ.C LTE.7;07:00 am - 10:00 pm;-1.204.386;-7.692.316;07:00 am - 10:00 pm;ASENTAMIENTO HUMANO SANTA MARÍA MZ.C LTE.7;;;;;;;;;;;;;;;;;;;;;;;
-7.707.392;-1.206.766;TIENDAS TAMBO S.A.C;AV MARIANO CORNEJO 2002;07:00 am - 10:30 pm;-1.206.766;-7.707.392;07:00 am - 10:30 pm;AV MARIANO CORNEJO 2002;;;;;;;;;;;;;;;;;;;;;;;
-77.125;-1.185.369;PIXEL COMUNICACIONES;AV. AYACUCHO, VENTANILLA 07056;07:30 am - 10:00 pm;-1.185.369;-77.125;07:30 am - 10:00 pm;AV. AYACUCHO, VENTANILLA 07056;;;;;;;;;;;;;;;;;;;;;;;
-770.425;-119.273;CORAZON DE JESUS;JR DAVID LEON 105;07:00 am - 10:00 pm;-119.273;-770.425;07:00 am - 10:00 pm;JR DAVID LEON 105;;;;;;;;;;;;;;;;;;;;;;;
-7.705.242;-1.193.836;SERVICIO TECNICO DE CELULARES;AV VICTOR BELAUNDE OESTE 376 URB HUAQUILLAY 2DA ETAPA;07:00 am - 10:00 pm;-1.193.836;-7.705.242;07:00 am - 10:00 pm;AV VICTOR BELAUNDE OESTE 376 URB HUAQUILLAY 2DA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.425;-1.196.789;FLOR MARLENI CARLOS SALAZAR;CALLE MARIANO BENAVIDES MZ.E LT 03 VILLA SOL ;07:00 am - 10:00 pm;-1.196.789;-7.707.425;07:00 am - 10:00 pm;CALLE MARIANO BENAVIDES MZ.E LT 03 VILLA SOL;;;;;;;;;;;;;;;;;;;;;;;
-7.704.311;-1.189.877;BAZAR SADID;MZ H LT 2 AAHH 2 DE AGOSTO/;07:30 am - 10:00 pm;-1.189.877;-7.704.311;07:30 am - 10:00 pm;MZ H LT 2 AAHH 2 DE AGOSTO/;;;;;;;;;;;;;;;;;;;;;;;
-7.707.783;-1.186.184;BOTICA;AV PUENTE PIEDRA 582;07:00 am - 10:00 pm;-1.186.184;-7.707.783;07:00 am - 10:00 pm;AV PUENTE PIEDRA 582;;;;;;;;;;;;;;;;;;;;;;;
-7.704.775;-1.192.812;MARIBEL YAQUELIN SALDAÑA VASQUEZ;JR. JAMAICA 401A ETAPA 2 URB. SAN AGUSTIN;07:00 am - 10:00 pm;-1.192.812;-7.704.775;07:00 am - 10:00 pm;JR. JAMAICA 401A ETAPA 2 URB. SAN AGUSTIN;;;;;;;;;;;;;;;;;;;;;;;
-7.699.272;-1.200.475;JOSE LUIS CHARCA ZUÑIGA;ASOCIACION DE POBLADORES SAUCE II MZA. A LOTE 01;07:00 am - 10:00 pm;-1.200.475;-7.699.272;07:00 am - 10:00 pm;ASOCIACION DE POBLADORES SAUCE II MZA. A LOTE 01;;;;;;;;;;;;;;;;;;;;;;;
-770.863;-1.198.228;INVERSIONES SAGIE;AV ALISOS MZ O LOTE 22;07:00 am - 10:00 pm;-1.198.228;-770.863;07:00 am - 10:00 pm;AV ALISOS MZ O LOTE 22;;;;;;;;;;;;;;;;;;;;;;;
-7.709.606;-1.199.082;TIENDITA PARADERO 3;AV DANIEL ALCIDES CARRION MZ F LT 1 1;07:00 am - 10:00 pm;-1.199.082;-7.709.606;07:00 am - 10:00 pm;AV DANIEL ALCIDES CARRION MZ F LT 1 1;;;;;;;;;;;;;;;;;;;;;;;
-7.706.261;-1.195.528;ROCIO DEL PILAR SOLIS MAYTA;AV MEXICO MZ B LT 27 669 URB SANTA ISOLINA;07:00 am - 10:00 pm;-1.195.528;-7.706.261;07:00 am - 10:00 pm;AV MEXICO MZ B LT 27 669 URB SANTA ISOLINA;;;;;;;;;;;;;;;;;;;;;;;
-7.709.666;-1.199.069;BOTICA LA FAMILIA;AV. DANIEL ALCIDES CARRION Y AUXILIAR AV. CARLOS IZAGUIRRE, MZ K LT 20  ASOC. LOS CHASQUIS;07:00 am - 10:00 pm;-1.199.069;-7.709.666;07:00 am - 10:00 pm;AV. DANIEL ALCIDES CARRION Y AUXILIAR AV. CARLOS IZAGUIRRE, MZ K LT 20  ASOC. LOS CHASQUIS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.871;-1.192.845;MULTITIENDAS PATTY;JR CAHUIDE 288 URB SAN AGUSTIN;07:00 am - 10:00 pm;-1.192.845;-7.704.871;07:00 am - 10:00 pm;JR CAHUIDE 288 URB SAN AGUSTIN;;;;;;;;;;;;;;;;;;;;;;;
-770.701;-1.188.366;NICOLAS MAXIMO GONZALES BLAS;AV LOS PINOS M07- 3;07:00 am - 10:00 pm;-1.188.366;-770.701;07:00 am - 10:00 pm;AV LOS PINOS M07- 3;;;;;;;;;;;;;;;;;;;;;;;
-7.705.939;-1.196.128;BOTICA;AV EL PARRAL 496 URB EL PARRAL ;07:00 am - 10:00 pm;-1.196.128;-7.705.939;07:00 am - 10:00 pm;AV EL PARRAL 496 URB EL PARRAL;;;;;;;;;;;;;;;;;;;;;;;
-7.709.547;-1.201.896;LILIANA OLGA HUALLANCA CONTRERAS;AV EL OLIVAR MZ B LT 40 URB EL OLIVAR;07:00 am - 10:00 pm;-1.201.896;-7.709.547;07:00 am - 10:00 pm;AV EL OLIVAR MZ B LT 40 URB EL OLIVAR;;;;;;;;;;;;;;;;;;;;;;;
-7.700.876;-1.191.286;SANDRA VAZQUEZ;JR LOS DIAMANTES 190  COLLIQUE 5TA ZONA;07:00 am - 10:00 pm;-1.191.286;-7.700.876;07:00 am - 10:00 pm;JR LOS DIAMANTES 190  COLLIQUE 5TA ZONA;;;;;;;;;;;;;;;;;;;;;;;
-770.552;-1.195.591;MINIMARKET D'MANUE;JR. ASUNCION 638;07:00 am - 10:00 pm;-1.195.591;-770.552;07:00 am - 10:00 pm;JR. ASUNCION 638;;;;;;;;;;;;;;;;;;;;;;;
-7.708.716;-1.192.638;ROSA MARGOT ECHEVARRIA ATAUSUPA;A.H. LADERAS DEL CHILLON MZ V LT 32;07:00 am - 10:00 pm;-1.192.638;-7.708.716;07:00 am - 10:00 pm;A.H. LADERAS DEL CHILLON MZ V LT 32;;;;;;;;;;;;;;;;;;;;;;;
-770.702;-119.533;MAFALDA CORPORATION EIRL;AV ALFREDO MENDIOLA 6363 URB SANTA LUISA;07:00 am - 10:00 pm;-119.533;-770.702;07:00 am - 10:00 pm;AV ALFREDO MENDIOLA 6363 URB SANTA LUISA;;;;;;;;;;;;;;;;;;;;;;;
-7.695.437;-1.204.144;BOTICA VIRGEN SANTA ANA;JR LAS GUIRNALDAS MZ A29 LT 1 (CRUCE DE AV WUAROCHIRI Y SANTA ANA);07:30 am - 10:00 pm;-1.204.144;-7.695.437;07:30 am - 10:00 pm;JR LAS GUIRNALDAS MZ A29 LT 1 (CRUCE DE AV WUAROCHIRI Y SANTA ANA);;;;;;;;;;;;;;;;;;;;;;;
-7.705.251;-1.194.786;JOSELEYN ELIZABETH BAUTISTA FUERTES;CALLE GUILLERMO GERALDINO MZA. I LOTE 13 ;07:00 am - 10:00 pm;-1.194.786;-7.705.251;07:00 am - 10:00 pm;CALLE GUILLERMO GERALDINO MZA. I LOTE 13;;;;;;;;;;;;;;;;;;;;;;;
-7.709.172;-1.198.574;DEYSI MELISSA INCACCONA CORAL;AV LOS OLIVOS MZ A LT 32 ASOC. LOS PINOS DEL NORTE ;07:00 am - 10:00 pm;-1.198.574;-7.709.172;07:00 am - 10:00 pm;AV LOS OLIVOS MZ A LT 32 ASOC. LOS PINOS DEL NORTE;;;;;;;;;;;;;;;;;;;;;;;
-7.706.808;-1.193.422;LIBRERÍA-BAZAR;AV METROPOLITANA 510 MZ C1 LT 13 URB EL ALAMO ;07:00 am - 10:00 pm;-1.193.422;-7.706.808;07:00 am - 10:00 pm;AV METROPOLITANA 510 MZ C1 LT 13 URB EL ALAMO;;;;;;;;;;;;;;;;;;;;;;;
-7.705.953;-1.195.161;BOTICA;AV UNIVERSITARIA NORTE  6058 URB SANTA LUZMILA;07:00 am - 10:00 pm;-1.195.161;-7.705.953;07:00 am - 10:00 pm;AV UNIVERSITARIA NORTE  6058 URB SANTA LUZMILA;;;;;;;;;;;;;;;;;;;;;;;
-7.693.911;-120.344;LAVANDERIA FORTALEZA;CALLE 20 DE AGOSTO MZ L LT 8 FORTALEZA DE VITARTE;07:00 am - 10:00 pm;-120.344;-7.693.911;07:00 am - 10:00 pm;CALLE 20 DE AGOSTO MZ L LT 8 FORTALEZA DE VITARTE;;;;;;;;;;;;;;;;;;;;;;;
-7.704.786;-1.191.486;FARMACIA CENTRAL;AV UNIVERSITARIA NORTE 9319 AH SAN JUAN BAUTISTA ;07:00 am - 10:00 pm;-1.191.486;-7.704.786;07:00 am - 10:00 pm;AV UNIVERSITARIA NORTE 9319 AH SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;
-7.701.383;-1.211.682;JORFEL;AV SERGIO BERNALES 575;07:30 am - 10:00 pm;-1.211.682;-7.701.383;07:30 am - 10:00 pm;AV SERGIO BERNALES 575;;;;;;;;;;;;;;;;;;;;;;;
-770.192;-1.186.419;LIBRERIA;MZ G LT 7 PROVIV EL PARAISO ;07:00 am - 10:00 pm;-1.186.419;-770.192;07:00 am - 10:00 pm;MZ G LT 7 PROVIV EL PARAISO;;;;;;;;;;;;;;;;;;;;;;;
-7.697.529;-1.211.015;TIENDAS TAMBO S.A.C;AV. PRIMAVERA N° 1284, URBANIZACIÓN VALLE HERMOSO DE MONTERRICO LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.211.015;-7.697.529;07:00 am - 10:30 pm;AV. PRIMAVERA N° 1284, URBANIZACIÓN VALLE HERMOSO DE MONTERRICO LIMA-LIMA-SANTIAGO DE SURCO;;;;;;;;;;;;;;;;;;;;;;;
-7.704.454;-1.190.539;BODEGA PANTOJA;ASOC SAN ANDRES MZ C LOTE 6 SAN CARLOS;07:00 am - 10:00 pm;-1.190.539;-7.704.454;07:00 am - 10:00 pm;ASOC SAN ANDRES MZ C LOTE 6 SAN CARLOS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.225;-1.198.165;CBS.NET ;JR. HANANCUZCO 587 URB. TAHUANTINSUYO / REFERENCIA: ALT. COLEGIO GRAN BRETAÑA ;07:00 am - 10:00 pm;-1.198.165;-7.704.225;07:00 am - 10:00 pm;JR. HANANCUZCO 587 URB. TAHUANTINSUYO / REFERENCIA: ALT. COLEGIO GRAN BRETAÑA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.783;-1.186.184;BOTICA;AV PUENTE PIEDRA 582;07:00 am - 10:00 pm;-1.186.184;-7.707.783;07:00 am - 10:00 pm;AV PUENTE PIEDRA 582;;;;;;;;;;;;;;;;;;;;;;;
-7.707.748;-1.201.069;BODEGA EL CAPO;CALLE SAN ALBERTO MZ G LOTE 33 URB SANTA ROSA;07:00 am - 10:00 pm;-1.201.069;-7.707.748;07:00 am - 10:00 pm;CALLE SAN ALBERTO MZ G LOTE 33 URB SANTA ROSA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.343;-1.198.802;BOTICAS FARMA IMPERIAL;AV. LOS OLIVOS MZ.P LT.4 ASOC. SEÑOR DE LOS MILAGROS / A 2 CUADRAS DE LA AV UNIVERSITARIA;07:30 am - 10:00 pm;-1.198.802;-7.708.343;07:30 am - 10:00 pm;AV. LOS OLIVOS MZ.P LT.4 ASOC. SEÑOR DE LOS MILAGROS / A 2 CUADRAS DE LA AV UNIVERSITARIA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.783;-1.186.184;BOTICA;AV PUENTE PIEDRA 582;07:00 am - 10:00 pm;-1.186.184;-7.707.783;07:00 am - 10:00 pm;AV PUENTE PIEDRA 582;;;;;;;;;;;;;;;;;;;;;;;
-7.699.953;-1.207.682;JACKELINE VIVANCO PANDURO;AV. SAN LUIS 1001;07:00 am - 10:00 pm;-1.207.682;-7.699.953;07:00 am - 10:00 pm;AV. SAN LUIS 1001;;;;;;;;;;;;;;;;;;;;;;;
-770.476;-1.193.059;APUESTAS DEPORTIVAS;PEDRO LABARTHE 411 SAN AGUSTIN 2DA ETAPA COMAS LIMA;07:00 am - 10:00 pm;-1.193.059;-770.476;07:00 am - 10:00 pm;PEDRO LABARTHE 411 SAN AGUSTIN 2DA ETAPA COMAS LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.704.966;-1.195.383;EL CENTINELA;AV ALAMEDA MZ N2 LT 9 GAMBETA BAJA;07:00 am - 10:00 pm;-1.195.383;-7.704.966;07:00 am - 10:00 pm;AV ALAMEDA MZ N2 LT 9 GAMBETA BAJA;;;;;;;;;;;;;;;;;;;;;;;
-7.700.879;-1.220.095;BODEGA LUCIA;CALLE ISLA SERRANO MZ. B2 LTE. 22/ 2CDRAS DE CAMPUS VILLA UPC;07:30 am - 10:00 pm;-1.220.095;-7.700.879;07:30 am - 10:00 pm;CALLE ISLA SERRANO MZ. B2 LTE. 22/ 2CDRAS DE CAMPUS VILLA UPC;;;;;;;;;;;;;;;;;;;;;;;
-7.704.302;-1.194.124;LUIS CASTILLO HUERTA;AV JULIO C TELLO 490 2DA ZONA COLLIQUE;07:00 am - 10:00 pm;-1.194.124;-7.704.302;07:00 am - 10:00 pm;AV JULIO C TELLO 490 2DA ZONA COLLIQUE;;;;;;;;;;;;;;;;;;;;;;;
-7.705.913;-119.518;LAPIOZ Y PAPEL;JR JOSE MARIA PAGADOR 229 URB.SANTA LUZMILA 2DA ETAPA ;07:00 am - 10:00 pm;-119.518;-7.705.913;07:00 am - 10:00 pm;JR JOSE MARIA PAGADOR 229 URB.SANTA LUZMILA 2DA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.874;-119.481;BODEGA BAZAR PEÑA;AV. 2 DE OCTUBRE MZ O LOTE 2  ;07:00 am - 10:00 pm;-119.481;-7.707.874;07:00 am - 10:00 pm;AV. 2 DE OCTUBRE MZ O LOTE 2;;;;;;;;;;;;;;;;;;;;;;;
-7.704.383;-119.025;BODEGA;CALLE 4 MZ C LTE 9 URB RESIDENCIAL SANTA MARIA;07:00 am - 10:00 pm;-119.025;-7.704.383;07:00 am - 10:00 pm;CALLE 4 MZ C LTE 9 URB RESIDENCIAL SANTA MARIA;;;;;;;;;;;;;;;;;;;;;;;
