X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-770.473;-1.209.281;TIENDAS TAMBO S.A.C;CAL. LAS FLORES NRO 205 URB COUNTRY CLUB LIMA-LIMA-SAN ISIDRO;07:00 am - 10:30 pm;-1.209.281;-770.473;07:00 am - 10:30 pm;CAL. LAS FLORES NRO 205 URB COUNTRY CLUB LIMA-LIMA-SAN ISIDRO;;;;;;
-7.694.146;-1.210.389;TIENDAS TAMBO S.A.C;AV. LOS FRESNOS SECCIÓN 1-2, MZ. 14, LOTE 1, URBANIZACIÓN PORTADA DEL SOL DE LA MOLINA I;07:00 am - 10:30 pm;-1.210.389;-7.694.146;07:00 am - 10:30 pm;AV. LOS FRESNOS SECCIÓN 1-2, MZ. 14, LOTE 1, URBANIZACIÓN PORTADA DEL SOL DE LA MOLINA I;;;;;;
-7.705.494;-1.209.217;TIENDAS TAMBO S.A.C;AV. PERSHING NRO 479 INT. 2 URBANIZACIÓN COUNTRY CLUB LIMA-LIMA-MAGDALENA DEL MAR;07:00 am - 10:30 pm;-1.209.217;-7.705.494;07:00 am - 10:30 pm;AV. PERSHING NRO 479 INT. 2 URBANIZACIÓN COUNTRY CLUB LIMA-LIMA-MAGDALENA DEL MAR;;;;;;
-7.703.638;-1.208.023;TIENDAS TAMBO S.A.C;AV. GENERAL ARENALES NRO. 1518 LIMA - LIMA - LINCE;07:00 am - 10:30 pm;-1.208.023;-7.703.638;07:00 am - 10:30 pm;AV. GENERAL ARENALES NRO. 1518 LIMA - LIMA - LINCE;;;;;;
-7.703.475;-1.208.368;TIENDAS TAMBO S.A.C;AV AREQUIPA 1900 - LINCE;07:00 am - 10:30 pm;-1.208.368;-7.703.475;07:00 am - 10:30 pm;AV AREQUIPA 1900 - LINCE;;;;;;
-7.703.923;-1.204.849;TIENDAS TAMBO S.A.C;AV. NICOLAS DE PIEROLA NRO. 495 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.204.849;-7.703.923;07:00 am - 10:30 pm;AV. NICOLAS DE PIEROLA NRO. 495 LIMA-LIMA-LIMA;;;;;;
-7.703.511;-1.207.881;TIENDAS TAMBO S.A.C;AV. AREQUIPA 1421 - TDA 102;07:00 am - 10:30 pm;-1.207.881;-7.703.511;07:00 am - 10:30 pm;AV. AREQUIPA 1421 - TDA 102;;;;;;
-7.694.593;-1.206.237;TIENDAS TAMBO S.A.C;AV.LOS CONSTRUCTORES NRO.REF URB.STA PATRICIA III ETAPA(AV CONSTRUCTORES 1181-A) LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.206.237;-7.694.593;07:00 am - 10:30 pm;AV.LOS CONSTRUCTORES NRO.REF URB.STA PATRICIA III ETAPA(AV CONSTRUCTORES 1181-A) LIMA-LIMA-LA MOLINA;;;;;;
-7.702.788;-1.203.172;TIENDAS TAMBO S.A.C;AV SAMUEL ALCAZAR 202 - 204 RIMAC;07:00 am - 10:30 pm;-1.203.172;-7.702.788;07:00 am - 10:30 pm;AV SAMUEL ALCAZAR 202 - 204 RIMAC;;;;;;
-7.702.453;-120.966;TIENDAS TAMBO S.A.C;AV. ENRIQUE CANAVAL Y MOREYRA NRO. 139 LIMA - LIMA - SAN ISIDRO;07:00 am - 10:30 pm;-120.966;-7.702.453;07:00 am - 10:30 pm;AV. ENRIQUE CANAVAL Y MOREYRA NRO. 139 LIMA - LIMA - SAN ISIDRO;;;;;;
