X;Y;Name;LATITUD;LONGITUD
-770.073.716;-12.088.427.073.832;GUARDIA CIVIL (201, 204, 206, 209);-120.884.271;-770.073.716
-77.015.862;-12.089.640.973.832;QUIÑONES (201, 204, 206, 209);-12.089.641;-77.015.862
-770.254.659;-12.091.055.973.832;MASIAS (201,209);-12.091.056;-770.254.659
-770.278.926;-12.091.416.273.832;ORQUIDEAS (201, 204, 206, 209);-120.914.163;-770.278.926
-77.032.033;-12.091.999.973.832;PETIT THOUARS (201, 204, 206, 209);-12.092;-77.032.033
-77.033.904;-12.092.261.973.832;ARENALES (201, 204, 206, 209);-12.092.262;-77.033.904
-77.038.402;-12.092.886.973.832;LAS PALMERAS (201, 204, 206, 209);-12.092.887;-77.038.402
-77.044.785;-12.093.791.973.832;LOS NOGALES (201, 204, 206, 209);-12.093.792;-77.044.785
-77.049.205;-12.094.400.973.832;PERSHING (201, 204, 206, 209);-12.094.401;-77.049.205
-77.053.001;-12.093.078.973.832;SALAVERRY (201);-12.093.079;-77.053.001
-7.705.737;-12.090.177.973.832;GREGORIO ESCOBEDO (201,204, 209);-12.090.178;-7.705.737
-77.060.816;-12.087.929.973.832;HOSPITAL MILITAR (201, 204, 206, 209);-1.208.793;-77.060.816
-770.668.723;-12.083.118.373.832;SUCRE (201, 204);-120.831.184;-770.668.723
-77.073.025;-12.080.871.973.832;BARTOLOME HERRERA (201, 204);-12.080.872;-77.073.025
-77.080.765;-12.078.195.973.832;UNIVERSITARIA (201, 204);-12.078.196;-77.080.765
-77.088.278;-12.077.937.973.832;PARQUE DE LAS LEYENDAS (201, 204);-12.077.938;-77.088.278
-77.093.002;-12.077.407.973.832;RAFAEL ESCARDO (201, 204);-12.077.408;-77.093.002
-77.098.706;-12.071.816.973.832;CONTISUYO (204);-12.071.817;-77.098.706
-76.931.308;-12.038.424.973.832;NICOLAS AYLLON;-12.038.425;-76.931.308
-76.934.044;-12.036.641.973.832;CAÑETE;-12.036.642;-76.934.044
-7.693.675;-12.038.146.973.832;CRUZ DEL SUR;-12.038.147;-7.693.675
-76.937.147;-12.043.466.973.832;JOSFEL;-12.043.467;-76.937.147
-76.938.306;-12.047.280.973.832;BACKUS;-12.047.281;-76.938.306
-76.941.119;-12.052.538.973.832;MAYORAZGO;-12.052.539;-76.941.119
-76.944.294;-12.056.527.973.832;HUAROCHIRI;-12.056.528;-76.944.294
-76.942.522;-12.060.532.973.832;CONSTRUCTORES;-12.060.533;-76.942.522
-76.950.742;-12.062.968.973.832;INGENIEROS (209);-12.062.969;-76.950.742
-77.078.669;-12.061.952.973.832;SAN MARCOS (206, 209);-12.061.953;-77.078.669
-769.363.583;-12.114.011.073.832;TEMPLO SANTA MARIA (206);-121.140.111;-769.363.583
-769.384.389;-12.110.263.873.832;CHAN CHAN (206);-121.102.639;-769.384.389
-769.406.028;-12.105.738.873.832;CASTILLA (206);-121.057.389;-769.406.028
-769.420.222;-12.102.727.773.832;PASEO DE AGUAS (206);-121.027.278;-769.420.222
-769.491.389;-12.102.149.973.832;FACULTAD DE DERECHO (206);-1.210.215;-769.491.389
-76.950.975;-12.097.974.973.832;FACULTAD DE MEDICINA (206);-12.097.975;-76.950.975
-769.526.278;-12.093.141.673.832;LOS BAMBUES (206);-120.931.417;-769.526.278
-769.545.556;-12.088.561.073.832;LOS SAUCES (206);-120.885.611;-769.545.556
-769.574.667;-12.085.224.973.832;CIAM (206);-12.085.225;-769.574.667
-769.541.778;-12.078.155.573.832;MINISTERIO DE AGRICULTURA (206);-120.781.556;-769.541.778
-76.868.802;-12.085.823.973.832;SAN JUAN BAUTISTA (204);-12.085.824;-76.868.802
-768.722.474;-12.085.433.173.832;PARADERO 1 (204);-120.854.332;-768.722.474
-76.877.316;-12.084.279.973.832;VICTOR MALASQUEZ  (204);-1.208.428;-76.877.316
-76.881.727;-12.084.948.973.832;LAS DUNAS (204);-12.084.949;-76.881.727
-76.887.799;-12.085.266.973.832;SAUCES (204);-12.085.267;-76.887.799
-76.890.324;-12.086.008.973.832;MADRESELVA (204);-12.086.009;-76.890.324
-76.896.054;-12.085.970.973.832;NAPLO (204);-12.085.971;-76.896.054
-76.900.023;-12.085.927.973.832;LA PUNTA (204);-12.085.928;-76.900.023
-76.907.164;-12.086.015.973.832;MONACO (204);-12.086.016;-76.907.164
-76.912.634;-12.085.906.973.832;EL SOL (204);-12.085.907;-76.912.634
-76.919.766;-12.085.192.973.832;RINCONADA DEL LAGO (204);-12.085.193;-76.919.766
-76.923.758;-12.085.015.973.832;LAGUNA GRANDE (204);-12.085.016;-76.923.758
-76.927.216;-12.084.237.973.832;A. QUESADA (204);-12.084.238;-76.927.216
-76.928.036;-12.082.331.973.832;MOLICENTRO (204);-12.082.332;-76.928.036
-76.937.691;-12.069.388.973.832;CENTENARIO (204);-12.069.389;-76.937.691
-77.098.895;-12.074.624.973.832;HONDA;-12.074.625;-77.098.895
-77.100.443;-12.073.874.973.832;FAUTCETT (201);-12.073.875;-77.100.443
-77.102.392;-12.072.972.973.832;JOSE MARTI (201);-12.072.973;-77.102.392
-771.041.522;-12.072.088.073.832;LOS INSURGENTES (201);-120.720.881;-771.041.522
-77.109.031;-12.070.260.973.832;HAYA DE LA TORRE (201);-12.070.261;-77.109.031
-77.111.848;-12.069.141.973.832;LOPEZ ALBUJAR (201);-12.069.142;-77.111.848
-77.113.978;-12.068.335.973.832;BOMBEROS (201);-12.068.336;-77.113.978
-77.116.402;-12.067.253.973.832;OVALO LA PERLA (201);-12.067.254;-77.116.402
-77.118.224;-12.065.243.973.832;VENEZUELA (201);-12.065.244;-77.118.224
-77.115.682;-12.064.670.973.832;CALLE 66;-12.064.671;-77.115.682
-77.118.068;-12.065.115.973.832;VENEZUELA (201);-12.065.116;-77.118.068
-77.118.578;-12.066.210.973.832;OVALO LA PERLA (201;-12.066.211;-77.118.578
-77.113.929;-12.068.572.973.832;BOMBEROS (201);-12.068.573;-77.113.929
-77.111.205;-12.069.641.973.832;HAYA DE LA TORRE (201);-12.069.642;-77.111.205
-77.088.092;-12.078.249.973.832;PARQUE DE LAS LEYENDAS (201, 204);-1.207.825;-77.088.092
-77.082.015;-12.078.325.973.832;UNIVERSITARIA (201, 204);-12.078.326;-77.082.015
-77.073.612;-12.080.901.973.832;BARTOLOME HERRERA (201, 204, 206, 209);-12.080.902;-77.073.612
-77.067.605;-12.083.092.973.832;SUCRE (201, 204, 206, 209);-12.083.093;-77.067.605
-77.061.309;-12.087.863.973.832;HOSPITAL MILITAR (201,204, 206, 209);-12.087.864;-77.061.309
-77.058.783;-12.089.510.973.832;GREGORIO ESCOBEDO (201, 204);-12.089.511;-77.058.783
-7.705.437;-12.092.424.973.832;SALAVERRY (201);-12.092.425;-7.705.437
-77.051.386;-12.094.406.373.832;JAVIER PRADO (201);-120.944.064;-77.051.386
-77.047.558;-12.094.382.973.832;LAS FLORES (201, 204, 206, 209);-12.094.383;-77.047.558
-77.044.223;-12.093.925.973.832;LOS CEDROS  (201, 204, 206, 209);-12.093.926;-77.044.223
-77.034.733;-12.092.613.973.832;ARENALES (201, 204, 206, 209);-12.092.614;-77.034.733
-770.308.517;-12.092.083.573.832;PARODI (201, 204, 206);-120.920.836;-770.308.517
-77.028.441;-12.091.728.973.832;ORQUIDEAS (201, 204, 206, 209);-12.091.729;-77.028.441
